month,day,second,temp
01,19,065053,48
01,19,065552,47
01,19,070051,47
01,19,070550,47
01,19,071049,47
01,19,071548,47
01,19,072047,47
01,19,072547,47
01,19,073046,47
01,19,073545,47
01,19,074045,47
01,19,074544,47
01,19,075043,47
01,19,075542,47
01,19,080042,47
01,19,080541,47
01,19,081040,47
01,19,081539,47
01,19,082038,47
01,19,082537,47
01,19,083037,47
01,19,083536,47
01,19,084035,47
01,19,084535,47
01,19,085035,47
01,19,085535,47
01,19,090034,47
01,19,090534,47
01,19,091033,47
01,19,091532,47
01,19,092031,48
01,19,092531,48
01,19,093030,48
01,19,093529,48
01,19,094029,48
01,19,094528,48
01,19,095027,47
01,19,095527,47
01,19,100026,47
01,19,100525,47
01,19,101024,48
01,19,101524,48
01,19,102023,48
01,19,102523,48
01,19,103022,49
01,19,103522,49
01,19,104020,48
01,19,104519,48
01,19,105019,49
01,19,105518,49
01,19,110017,49
01,19,110517,49
01,19,111016,50
01,19,111516,50
01,19,112015,50
01,19,112514,50
01,19,113014,50
01,19,113513,50
01,19,114012,50
01,19,114512,51
01,19,115011,51
01,19,115510,51
01,19,120009,51
01,19,120509,51
01,19,121008,51
01,19,121507,52
01,19,122006,52
01,19,122506,52
01,19,123005,52
01,19,123504,52
01,19,124004,52
01,19,124503,52
01,19,125002,52
01,19,125502,53
01,19,130001,53
01,19,130500,53
01,19,131000,53
01,19,131459,52
01,19,131958,52
01,19,132457,52
01,19,133000,52
01,19,133459,53
01,19,133958,53
01,19,134457,53
01,19,134956,53
01,19,135455,53
01,19,135954,53
01,19,140454,53
01,19,140954,53
01,19,141454,53
01,19,141953,53
01,19,142453,53
01,19,142952,53
01,19,143452,53
01,19,143951,53
01,19,144450,53
01,19,144949,53
01,19,145449,53
01,19,145948,53
01,19,150448,53
01,19,150947,53
01,19,151447,53
01,19,151946,53
01,19,152446,53
01,19,152945,53
01,19,153444,53
01,19,153944,53
01,19,154443,53
01,19,154943,53
01,19,155442,53
01,19,155941,53
01,19,160440,53
01,19,160939,53
01,19,161439,53
01,19,161938,53
01,19,162437,53
01,19,162936,53
01,19,163436,53
01,19,163935,53
01,19,164434,53
01,19,164934,53
01,19,165433,53
01,19,165932,53
01,19,170432,53
01,19,170931,53
01,19,171430,52
01,19,171929,52
01,19,172428,52
01,19,172928,52
01,19,173427,52
01,19,173927,52
01,19,174426,51
01,19,174925,51
01,19,175424,51
01,19,175923,51
01,19,180423,51
01,19,180922,51
01,19,181421,51
01,19,181920,51
01,19,182420,51
01,19,182919,51
01,19,183419,51
01,19,183919,51
01,19,184419,51
01,19,184919,51
01,19,185418,51
01,19,185917,51
01,19,190416,51
01,19,190916,51
01,19,191415,51
01,19,191915,51
01,19,192414,51
01,19,192913,51
01,19,193412,51
01,19,193912,51
01,19,194411,51
01,19,194911,51
01,19,195410,51
01,19,195909,52
01,19,200409,52
01,19,200908,52
01,19,201407,52
01,19,201907,51
01,19,202406,51
01,19,202905,51
01,19,203404,51
01,19,203904,51
01,19,204403,51
01,19,204903,51
01,19,205402,51
01,19,205901,51
01,19,210400,51
01,19,210859,51
01,19,211358,51
01,19,211858,51
01,19,212358,51
01,19,212857,51
01,19,213357,51
01,19,213856,51
01,19,214356,51
01,19,214855,51
01,19,215355,51
01,19,215855,51
01,19,220355,51
01,19,220854,51
01,19,221354,51
01,19,221854,51
01,19,222353,51
01,19,222852,51
01,19,223352,51
01,19,223851,51
01,19,224351,51
01,19,224850,51
01,19,225350,51
01,19,225849,51
01,19,230349,51
01,19,230849,51
01,19,231348,51
01,19,231847,51
01,19,232347,51
01,19,232846,51
01,19,233347,51
01,19,233846,51
01,19,234345,51
01,19,234844,51
01,19,235344,51
01,19,235844,51
01,20,000344,51
01,20,000843,51
01,20,001342,51
01,20,001842,51
01,20,002341,51
01,20,002840,51
01,20,003339,51
01,20,003839,51
01,20,004339,51
01,20,004838,51
01,20,005338,51
01,20,005838,51
01,20,010337,51
01,20,010836,51
01,20,011336,51
01,20,011835,51
01,20,012334,51
01,20,012833,51
01,20,013333,51
01,20,013832,51
01,20,014331,51
01,20,014830,51
01,20,015330,51
01,20,015829,51
01,20,020328,51
01,20,020827,51
01,20,021327,51
01,20,021826,51
01,20,022325,51
01,20,022827,51
01,20,023326,51
01,20,023826,51
01,20,024326,51
01,20,024826,51
01,20,025325,51
01,20,025824,51
01,20,030323,51
01,20,030823,51
01,20,031322,51
01,20,031821,51
01,20,032321,51
01,20,032820,51
01,20,033319,51
01,20,033818,51
01,20,034318,51
01,20,034817,51
01,20,035316,51
01,20,035815,51
01,20,040314,51
01,20,040813,51
01,20,041312,51
01,20,041811,51
01,20,042310,51
01,20,042809,51
01,20,043309,51
01,20,043808,51
01,20,044307,51
01,20,044807,51
01,20,045306,51
01,20,045805,50
01,20,050305,50
01,20,050804,50
01,20,051303,50
01,20,051803,50
01,20,052303,50
01,20,052802,50
01,20,053301,50
01,20,053801,50
01,20,054300,50
01,20,054759,50
01,20,055259,50
01,20,055758,50
01,20,060257,50
01,20,060756,50
01,20,061255,50
01,20,061754,50
01,20,062254,50
01,20,062753,50
01,20,063252,50
01,20,063751,50
01,20,064250,50
01,20,064750,50
01,20,065249,50
01,20,065748,50
01,20,070249,50
01,20,070748,50
01,20,071248,50
01,20,071747,50
01,20,072246,50
01,20,072745,50
01,20,073245,50
01,20,073744,50
01,20,074243,50
01,20,074742,50
01,20,075242,49
01,20,075741,49
01,20,080240,50
01,20,080739,50
01,20,081238,49
01,20,081737,49
01,20,082237,50
01,20,082735,50
01,20,083234,50
01,20,083734,50
01,20,084233,50
01,20,084732,50
01,20,085231,50
01,20,085730,50
01,20,090230,50
01,20,090729,50
01,20,091229,50
01,20,091728,50
01,20,092228,50
01,20,092727,50
01,20,093226,50
01,20,093726,50
01,20,094225,50
01,20,094725,50
01,20,095224,50
01,20,095724,50
01,20,100223,50
01,20,100722,50
01,20,101221,50
01,20,101721,51
01,20,102220,51
01,20,102720,51
01,20,103220,51
01,20,103719,51
01,20,104218,51
01,20,104717,51
01,20,105217,50
01,20,105716,50
01,20,110215,50
01,20,110714,50
01,20,111213,50
01,20,111712,51
01,20,112212,51
01,20,112711,51
01,20,113210,51
01,20,113712,50
01,20,114211,50
01,20,114711,51
01,20,115210,51
01,20,115710,51
01,20,120209,51
01,20,120708,51
01,20,121208,51
01,20,121708,51
01,20,122208,51
01,20,122707,51
01,20,123206,51
01,20,123705,51
01,20,124204,51
01,20,124703,51
01,20,125203,51
01,20,125702,51
01,20,130202,51
01,20,130701,51
01,20,131201,51
01,20,131700,51
01,20,132200,50
01,20,132700,50
01,20,133159,50
01,20,133658,50
01,20,134157,50
01,20,134657,50
01,20,135156,51
01,20,135656,51
01,20,140155,50
01,20,140654,50
01,20,141154,50
01,20,141653,50
01,20,142152,49
01,20,142651,49
01,20,143150,49
01,20,143649,49
01,20,144149,49
01,20,144648,50
01,20,145147,50
01,20,145647,50
01,20,150146,50
01,20,150645,50
01,20,151145,50
01,20,151645,50
01,20,152145,50
01,20,152645,50
01,20,153144,50
01,20,153643,49
01,20,154142,49
01,20,154641,49
01,20,155141,49
01,20,155640,49
01,20,160140,49
01,20,160639,49
01,20,161139,49
01,20,161638,49
01,20,162137,48
01,20,162637,48
01,20,163136,48
01,20,163636,48
01,20,164135,48
01,20,164634,48
01,20,165133,48
01,20,165632,47
01,20,170132,47
01,20,170631,47
01,20,171130,47
01,20,171629,47
01,20,172129,47
01,20,172629,47
01,20,173128,47
01,20,173627,47
01,20,174127,47
01,20,174626,47
01,20,175126,47
01,20,175625,47
01,20,180125,47
01,20,180624,47
01,20,181124,46
01,20,181624,46
01,20,182124,47
01,20,182623,47
01,20,183122,47
01,20,183621,47
01,20,184121,47
01,20,184620,47
01,20,185121,46
01,20,185620,46
01,20,190119,47
01,20,190619,47
01,20,191119,47
01,20,191620,47
01,20,192122,47
01,20,192622,47
01,20,193122,47
01,20,193621,47
01,20,194121,47
01,20,194620,47
01,20,195120,47
01,20,195620,47
01,20,200120,47
01,20,200619,47
01,20,201118,47
01,20,201618,47
01,20,202117,47
01,20,202617,47
01,20,203116,47
01,20,203616,46
01,20,204116,46
01,20,204615,46
01,20,205115,46
01,20,205614,47
01,20,210116,47
01,20,210618,47
01,20,211120,47
01,20,211619,47
01,20,212119,47
01,20,212618,47
01,20,213118,47
01,20,213619,47
01,20,214119,47
01,20,214620,47
01,20,215122,47
01,20,215622,47
01,20,220122,47
01,20,220621,47
01,20,221123,47
01,20,221626,47
01,20,222125,47
01,20,222625,47
01,20,223125,47
01,20,223624,47
01,20,224123,47
01,20,224623,47
01,20,225122,47
01,20,225622,47
01,20,230121,47
01,20,230621,47
01,20,231120,47
01,20,231619,47
01,20,232118,47
01,20,232618,47
01,20,233118,47
01,20,233617,47
01,20,234116,47
01,20,234617,47
01,20,235116,47
01,20,235615,47
01,21,000114,47
01,21,000614,47
01,21,001113,47
01,21,001613,47
01,21,002112,47
01,21,002612,47
01,21,003111,47
01,21,003610,47
01,21,004110,46
01,21,004610,46
01,21,005109,47
01,21,005608,47
01,21,010107,46
01,21,010606,46
01,21,011105,46
01,21,011605,46
01,21,012104,46
01,21,012603,46
01,21,013103,46
01,21,013603,46
01,21,014102,46
01,21,014601,46
01,21,015101,46
01,21,015600,46
01,21,020059,46
01,21,020559,46
01,21,021058,46
01,21,021557,46
01,21,022056,46
01,21,022556,46
01,21,023055,46
01,21,023555,46
01,21,024054,46
01,21,024553,46
01,21,025052,46
01,21,025552,46
01,21,030052,46
01,21,030551,46
01,21,031050,46
01,21,031550,46
01,21,032049,46
01,21,032548,46
01,21,033047,46
01,21,033546,46
01,21,034046,46
01,21,034546,46
01,21,035045,46
01,21,035544,46
01,21,040042,46
01,21,040543,46
01,21,041042,46
01,21,041541,46
01,21,042040,46
01,21,042540,46
01,21,043039,46
01,21,043538,46
01,21,044038,47
01,21,044537,47
01,21,045037,47
01,21,045537,47
01,21,050036,47
01,21,050535,47
01,21,051034,47
01,21,051534,47
01,21,052033,47
01,21,052532,47
01,21,053031,47
01,21,053530,48
01,21,054030,48
01,21,054529,48
01,21,055028,48
01,21,055527,48
01,21,060026,48
01,21,060526,48
01,21,061025,48
01,21,061525,48
01,21,062024,48
01,21,062523,48
01,21,063023,48
01,21,063523,48
01,21,064022,48
01,21,064521,48
01,21,065020,48
01,21,065520,48
01,21,070019,48
01,21,070519,48
01,21,071018,48
01,21,071518,48
01,21,072017,48
01,21,072516,49
01,21,073015,49
01,21,073514,49
01,21,074014,49
01,21,074513,49
01,21,075013,49
01,21,075512,49
01,21,080011,49
01,21,080510,49
01,21,081010,49
01,21,081509,49
01,21,082009,49
01,21,082510,49
01,21,083010,49
01,21,083509,49
01,21,084009,49
01,21,084509,49
01,21,085008,48
01,21,085507,49
01,21,090006,49
01,21,090505,49
01,21,091005,50
01,21,091504,50
01,21,092003,50
01,21,092502,50
01,21,093002,50
01,21,093502,50
01,21,094001,50
01,21,094500,50
01,21,095002,50
01,21,095501,50
01,21,100001,50
01,21,100501,50
01,21,101001,50
01,21,101500,50
01,21,102000,50
01,21,102459,50
01,21,102959,50
01,21,103458,51
01,21,103958,51
01,21,104457,51
01,21,104957,51
01,21,105455,51
01,21,105955,51
01,21,110454,51
01,21,110953,51
01,21,111452,51
01,21,111952,51
01,21,112451,51
01,21,112950,51
01,21,113450,51
01,21,113949,51
01,21,114448,51
01,21,114947,52
01,21,115446,52
01,21,115946,52
01,21,120445,52
01,21,120945,52
01,21,121444,52
01,21,121943,52
01,21,122442,52
01,21,122941,52
01,21,123440,52
01,21,123940,52
01,21,124439,52
01,21,124938,52
01,21,125437,52
01,21,125936,52
01,21,130436,52
01,21,130935,52
01,21,131435,52
01,21,131934,52
01,21,132434,52
01,21,132933,52
01,21,133435,53
01,21,133934,53
01,21,134433,53
01,21,134933,53
01,21,135432,53
01,21,135931,53
01,21,140430,53
01,21,140930,53
01,21,141429,53
01,21,141929,53
01,21,142428,53
01,21,142927,53
01,21,143427,53
01,21,143926,53
01,21,144425,53
01,21,144924,53
01,21,145424,53
01,21,145923,53
01,21,150422,53
01,21,150921,53
01,21,151420,52
01,21,151920,52
01,21,152419,53
01,21,152918,53
01,21,153417,53
01,21,153917,53
01,21,154416,53
01,21,154915,53
01,21,155415,53
01,21,155914,53
01,21,160413,52
01,21,160912,52
01,21,161411,53
01,21,161911,53
01,21,162411,53
01,21,162910,53
01,21,163409,53
01,21,163908,52
01,21,164408,52
01,21,164907,53
01,21,165406,53
01,21,165906,52
01,21,170406,52
01,21,170906,52
01,21,171405,52
01,21,171905,52
01,21,172405,52
01,21,172905,52
01,21,173404,52
01,21,173904,52
01,21,174403,52
01,21,174903,52
01,21,175402,52
01,21,175901,52
01,21,180400,52
01,21,180900,52
01,21,181402,52
01,21,181901,52
01,21,182400,52
01,21,182900,52
01,21,183359,52
01,21,183858,52
01,21,184357,52
01,21,184856,52
01,21,185356,52
01,21,185855,52
01,21,190355,52
01,21,190900,52
01,21,191400,52
01,21,191900,52
01,21,192359,52
01,21,192859,52
01,21,193358,52
01,21,193857,52
01,21,194357,52
01,21,194857,52
01,21,195357,52
01,21,195857,53
01,21,200359,53
01,21,200900,53
01,21,201359,52
01,21,201858,52
01,21,202359,53
01,21,202858,53
01,21,203359,53
01,21,203858,53
01,21,204400,52
01,21,204903,52
01,21,205402,52
01,21,205905,52
01,21,210405,52
01,21,210908,52
01,21,211408,52
01,21,211909,52
01,21,212409,52
01,21,212912,52
01,21,213416,52
01,21,213915,52
01,21,214415,52
01,21,214918,52
01,21,215420,52
01,21,215920,52
01,21,220419,52
01,21,220919,52
01,21,221418,52
01,21,221918,52
01,21,222417,52
01,21,222917,52
01,21,223416,52
01,21,223918,52
01,21,224417,52
01,21,224916,52
01,21,225416,52
01,21,225915,52
01,21,230415,52
01,21,230914,52
01,21,231414,52
01,21,231913,52
01,21,232413,52
01,21,232912,51
01,21,233411,51
01,21,233911,51
01,21,234410,51
01,21,234911,51
01,21,235409,51
01,21,235909,51
01,22,000408,50
01,22,000907,50
01,22,001407,50
01,22,001906,50
01,22,002405,50
01,22,002904,50
01,22,003403,50
01,22,003903,50
01,22,004402,50
01,22,004902,49
01,22,005401,49
01,22,005900,49
01,22,010400,50
01,22,010859,50
01,22,011359,50
01,22,011858,50
01,22,012357,51
01,22,012857,51
01,22,013356,50
01,22,013855,50
01,22,014355,50
01,22,014854,50
01,22,015354,50
01,22,015858,50
01,22,020357,51
01,22,020857,50
01,22,021356,50
01,22,021855,50
01,22,022355,51
01,22,022854,50
01,22,023353,50
01,22,023853,50
01,22,024352,51
01,22,024851,51
01,22,025351,51
01,22,025851,51
01,22,030350,51
01,22,030849,51
01,22,031348,51
01,22,031848,51
01,22,032347,51
01,22,032846,51
01,22,033345,51
01,22,033844,51
01,22,034343,51
01,22,034843,51
01,22,035343,51
