ik;Number of different words
102800;9706
102900;9708
103000;9709
103100;9716
103200;9719
103300;9721
103400;9728
103500;9730
103600;9732
103700;9736
103800;9743
103900;9744
104000;9748
104100;9752
104200;9757
104300;9766
104400;9779
104500;9784
104600;9793
104700;9797
104800;9804
104900;9808
105000;9808
105100;9808
105200;9812
105300;9821
105400;9821
105500;9824
105600;9832
105700;9833
105800;9835
105900;9838
106000;9840
106100;9841
106200;9843
106300;9846
106400;9847
106500;9849
106600;9856
106700;9856
106800;9856
106900;9859
107000;9859
107100;9859
107200;9859
107300;9860
107400;9861
107500;9862
107600;9862
107700;9866
107800;9867
107900;9869
108000;9870
108100;9870
108200;9870
108300;9871
108400;9871
108500;9876
108600;9876
108700;9876
108800;9878
108900;9879
109000;9881
109100;9887
109200;9889
109300;9889
109400;9890
109500;9892
109600;9895
109700;9898
109800;9898
109900;9902
110000;9906
110100;9908
110200;9909
110300;9915
110400;9930
110500;9941
110600;9949
110700;9952
110800;9956
110900;9965
111000;9971
111100;9973
111200;9976
111300;9980
111400;9983
111500;9984
111600;9986
111700;9989
111800;9993
111900;9994
112000;9996
112100;10000
112200;10001
112300;10004
112400;10007
112500;10007
112600;10008
112700;10011
112800;10015
112900;10017
113000;10019
113100;10026
113200;10030
113300;10031
113400;10033
113500;10035
113600;10039
113700;10041
113800;10045
113900;10045
114000;10046
114100;10047
114200;10048
114300;10048
114400;10050
114500;10055
114600;10056
114700;10056
114800;10058
114900;10058
115000;10058
115100;10065
115200;10067
115300;10072
115400;10077
115500;10077
115600;10089
115700;10095
115800;10106
115900;10112
116000;10116
116100;10116
116200;10117
116300;10117
116400;10132
116500;10137
116600;10137
116700;10142
116800;10154
116900;10160
117000;10171
117100;10175
117200;10180
117300;10189
117400;10190
117500;10192
117600;10200
117700;10212
117800;10216
117900;10222
118000;10226
118100;10233
118200;10237
118300;10238
118400;10247
118500;10254
118600;10259
118700;10265
118800;10270
118900;10277
119000;10286
119100;10289
119200;10291
119300;10296
119400;10296
119500;10301
119600;10302
119700;10304
119800;10308
119900;10311
120000;10312
120100;10316
120200;10318
120300;10323
120400;10323
120500;10326
120600;10332
120700;10339
120800;10342
120900;10344
121000;10347
121100;10348
121200;10348
121300;10350
121400;10350
121500;10355
121600;10357
121700;10359
121800;10364
121900;10372
122000;10372
122100;10374
122200;10378
122300;10384
122400;10389
122500;10401
122600;10401
122700;10402
122800;10403
122900;10404
123000;10410
123100;10411
123200;10412
123300;10414
123400;10414
123500;10415
123600;10416
123700;10416
123800;10418
123900;10423
124000;10425
124100;10435
124200;10437
124300;10445
124400;10446
124500;10446
124600;10448
124700;10448
124800;10449
124900;10455
125000;10463
125100;10464
125200;10465
125300;10466
125400;10474
125500;10474
125600;10479
125700;10483
125800;10491
125900;10491
126000;10500
126100;10503
126200;10505
126300;10507
126400;10510
126500;10516
126600;10519
126700;10520
126800;10522
126900;10527
127000;10529
127100;10531
127200;10533
127300;10535
127400;10544
127500;10549
127600;10553
127700;10557
127800;10560
127900;10561
128000;10566
128100;10568
128200;10577
128300;10582
128400;10588
128500;10591
128600;10597
128700;10606
128800;10610
128900;10612
129000;10612
129100;10615
129200;10619
129300;10626
129400;10630
129500;10638
129600;10646
129700;10653
129800;10656
129900;10657
130000;10665
130100;10669
130200;10672
130300;10675
130400;10682
130500;10686
130600;10691
130700;10698
130800;10705
130900;10710
131000;10713
131100;10718
131200;10724
131300;10726
131400;10728
131500;10732
131600;10738
131700;10739
131800;10744
131900;10748
132000;10750
132100;10751
132200;10753
132300;10754
132400;10757
132500;10757
132600;10757
132700;10758
132800;10761
132900;10761
133000;10763
133100;10765
133200;10766
133300;10767
133400;10769
133500;10770
133600;10772
133700;10778
133800;10779
133900;10780
134000;10786
134100;10789
134200;10791
134300;10794
134400;10796
134500;10799
134600;10802
134700;10803
134800;10805
134900;10805
135000;10806
135100;10807
135200;10808
135300;10809
135400;10812
135500;10818
135600;10827
135700;10827
135800;10828
135900;10829
136000;10830
136100;10831
136200;10837
136300;10842
136400;10847
136500;10849
136600;10853
136700;10854
136800;10856
136900;10857
137000;10859
137100;10862
137200;10870
137300;10871
137400;10877
137500;10881
137600;10886
137700;10893
137800;10895
137900;10895
138000;10897
138100;10898
138200;10908
138300;10914
138400;10915
138500;10915
138600;10915
138700;10916
138800;10920
138900;10921
139000;10924
139100;10927
139200;10928
139300;10930
139400;10935
139500;10939
139600;10943
139700;10946
139800;10952
139900;10953
140000;10954
140100;10954
140200;10955
140300;10955
140400;10956
140500;10957
140600;10960
140700;10961
140800;10966
140900;10969
141000;10972
141100;10972
141200;10973
141300;10975
